s,lane_x,lane_y,veh_x,veh_y,deviation,lane_seg_idx,veh_seg_idx
35.0,221.22809161454242,557.5456942118385,226.84340401858412,566.545787892656,10.608177018624616,1,31
35.25,221.36534260103707,557.7546491512542,226.96968685154437,566.7615485148732,10.60815302607174,1,31
35.5,221.50259358753175,557.96360409067,227.09596968450458,566.9773091370904,10.608144740059526,1,31
35.75,221.6398445740264,558.1725590300857,227.22225251746482,567.1930697593075,10.608152160624842,1,31
36.0,221.77709556052105,558.3815139695015,227.34813956878838,567.4090601558732,10.608162964864677,1,32
36.25,221.91434654701573,558.5904689089173,227.47289486628713,567.6257076016141,10.608157127969037,1,32
36.5,222.05159753351037,558.799423848333,227.5976501637859,567.8423550473548,10.608171588357079,1,32
36.75,222.18884852000505,559.0083787877487,227.72240546128464,568.0590024930956,10.608206345946064,1,32
37.0,222.3260995064997,559.2173337271645,227.8471607587834,568.2756499388363,10.608261400536122,1,32
37.25,222.463627374497,559.4261065349033,227.97095063674882,568.4928498962175,10.608319598073772,2,33
37.5,222.60115593068727,559.6348788899511,228.09454964198977,568.7101590904626,10.608396918723145,2,33
37.75,222.73868448687753,559.8436512449989,228.21814864723072,568.9274682847077,10.608499398854658,2,33
38.0,222.8762130430678,560.0524236000467,228.34174765247167,569.1447774789528,10.608627037739181,2,33
38.25,223.01374159925808,560.2611959550946,228.46474871760174,569.3624241513501,10.608762099535829,2,34
38.5,223.15127015544834,560.4699683101425,228.5869076212082,569.5805461407726,10.608901124392782,2,34
38.75,223.2887987116386,560.6787406651903,228.70906652481472,569.7986681301952,10.60907065362015,2,34
39.0,223.42632726782887,560.8875130202381,228.83122542842122,570.0167901196178,10.6092706857556,2,34
39.25,223.56385582401913,561.096285375286,228.95338433202772,570.2349121090404,10.609501219073723,2,34
39.5,223.7013843802094,561.3050577303338,229.0742510131203,570.4537527878621,10.60972747579734,2,35
39.75,223.83891293639968,561.5138300853816,229.19511610162857,570.6725943524239,10.609989408404578,2,35
40.0,223.97644149258994,561.7226024404295,229.31598119013682,570.8914359169858,10.610287060324927,2,35
40.25,224.1139700487802,561.9313747954773,229.4368462786451,571.1102774815477,10.61062042855228,2,35
40.5,224.25149860497046,562.1401471505252,229.55667248829235,571.3296873811311,10.61096223639517,2,36
40.75,224.38902716116073,562.348919505573,229.6757760355834,571.5494926245232,10.611326937681152,2,36
41.0,224.52655571735102,562.5576918606208,229.79487958287447,571.7692978679154,10.611735088366524,2,36
41.25,224.66408427354128,562.7664642156686,229.91398313016555,571.9891031113075,10.61218668343784,2,36
41.5,224.80161282973154,562.9752365707166,230.0328505729525,572.2090354164577,10.612675885454623,2,37
41.75,224.9391413859218,563.1840089257644,230.15069268550198,572.4295195122785,10.613186748262768,2,37
42.0,225.07666994211206,563.3927812808122,230.26853479805143,572.6500036080992,10.613747024456476,2,37
42.25,225.21419849830232,563.60155363586,230.3863769106009,572.8704877039199,10.614356706211138,2,37
42.5,225.3517270544926,563.8103259909078,230.50421902315037,573.0909717997406,10.615015785013618,2,37
42.75,225.48925561068287,564.0190983459557,230.62134022869776,573.3118393020935,10.615711328231635,2,38
43.0,225.62678416687314,564.2278707010036,230.73827802996936,573.5328043460117,10.616457019668841,2,38
43.25,225.76310193764996,564.4374117207793,230.85521583124097,573.75376938993,10.617162715379502,3,38
43.5,225.8935175570932,564.6506997096706,230.97215363251257,573.9747344338481,10.617446393753038,3,38
43.75,226.02393317653642,564.8639876985617,231.08828489847488,574.1961218723961,10.617739241568792,3,39
44.0,226.15434879597964,565.0772756874529,231.20331558603914,574.4180857003468,10.618041125560836,3,39
44.25,226.2847644154229,565.290563676344,231.31834627360337,574.6400495282974,10.618372380872636,3,39
44.5,226.41518003486613,565.5038516652352,231.43337696116762,574.862013356248,10.618733004755397,3,39
44.75,226.54559565430935,565.7171396541264,231.54829666215838,575.0840340641529,10.619120879927815,3,40
45.0,226.67601127375258,565.9304276430175,231.66130690859484,575.3070333560809,10.619505980271828,3,40
45.25,226.8064268931958,566.1437156319087,231.7743171550313,575.5300326480087,10.619928473411182,3,40
45.5,226.93684251263903,566.3570036207999,231.88732740146776,575.7530319399367,10.620388354883373,3,40
45.75,227.06725813208226,566.570291609691,232.00033764790425,575.9760312318647,10.6208856198318,3,40
46.0,227.19767375152549,566.7835795985823,232.11214082562225,576.1996363416808,10.621398740826626,3,41
46.25,227.3280893709687,566.9968675874734,232.22341173966834,576.4235085902677,10.621946228872284,3,41
46.5,227.45850499041194,567.2101555763645,232.33468265371442,576.6473808388546,10.622538738883042,3,41
46.75,227.5878173760153,567.4241021665341,232.4459535677605,576.8712530874415,10.623095018870218,4,41
47.0,227.71367916022024,567.6401086740211,232.55646811656595,577.0954966274626,10.623415939602001,4,42
47.25,227.8395409444252,567.8561151815081,232.66552387559915,577.3204562714471,10.623740561529644,4,42
47.5,227.96540272863015,568.0721216889951,232.77457963463235,577.5454159154318,10.624099303652208,4,42
47.75,228.0912645128351,568.2881281964823,232.88363539366554,577.7703755594165,10.624492162513217,4,42
48.0,228.21712629704004,568.5041347039693,232.99269115269874,577.995335203401,10.624919134328348,4,42
48.25,228.34298808124498,568.7201412114563,233.09948839552982,578.2213757518558,10.625335431480407,4,43
48.5,228.46884986544993,568.9361477189433,233.20627865739797,578.4474196413333,10.62579527096319,4,43
48.75,228.59471164965487,569.1521542264304,233.31306891926616,578.6734635308109,10.626298800305564,4,43
49.0,228.7205734338598,569.3681607339174,233.4198591811343,578.8995074202885,10.62684601329737,4,43
49.25,228.84643521806476,569.5841672414044,233.52533559266018,579.1261649529763,10.627409328854892,4,44
49.5,228.9722970022697,569.8001737488914,233.6301312688612,579.3531404279721,10.628009805540238,4,44
49.75,229.09815878647464,570.0161802563786,233.7349269450622,579.5801159029679,10.628663321819637,4,44
50.0,229.22402057067958,570.2321867638656,233.83972262126318,579.8070913779637,10.629369867910318,4,44
50.25,229.34710430302536,570.4497055837649,233.9438789052899,580.0343587273663,10.629953557150383,5,45
50.5,229.46020341989427,570.6726598162061,234.0467145126825,580.2622289488789,10.629953911216257,5,45
50.75,229.5733025367632,570.8956140486474,234.14955012007513,580.4900991703915,10.629966448448352,5,45
51.0,229.68640165363215,571.1185682810886,234.25238572746778,580.7179693919041,10.629991168803794,5,45
51.25,229.79950077050106,571.3415225135299,234.35522122752184,580.9458396612132,10.630028069379767,5,46
51.5,229.91259988737,571.5644767459712,234.45577378553372,581.1747264958658,10.630020193974483,5,46
51.75,230.02569900423893,571.7874309784124,234.55632634354558,581.4036133305183,10.630030438179604,5,46
52.0,230.13879812110784,572.0103852108537,234.65687890155743,581.6325001651709,10.630058801942875,5,46
52.25,230.25189723797678,572.2333394432949,234.7574314595693,581.8613869998235,10.630105285119127,5,46
52.5,230.3649963548457,572.4562936757362,234.85617987284033,582.0910540423891,10.630114614393053,5,47
52.75,230.47809547171462,572.6792479081774,234.9540875692437,582.3210846555367,10.63012328808416,5,47
53.0,230.59119458858356,572.9022021406187,235.05199526564707,582.551115268684,10.630158382331024,5,47
53.25,230.70429370545247,573.1251563730599,235.14990296205045,582.7811458818315,10.630219896872212,5,47
53.5,230.8173928223214,573.3481106055012,235.24693912653652,583.01154226731,10.630277133905492,5,48
53.75,230.93049193919035,573.5710648379425,235.34252331196225,583.2425480323819,10.63031551811369,5,48
54.0,231.04359105605926,573.7940190703837,235.438107497388,583.473553797454,10.630388858629221,5,48
54.25,231.1566901729282,574.0169733028249,235.53369168281375,583.7045595625259,10.630497154728369,5,48
54.5,231.2697892897971,574.2399275352662,235.62909060196984,583.9356408733063,10.630633333144285,5,49
54.75,231.38288840666604,574.4628817677075,235.72229565434532,584.1676167733729,10.630726070753518,5,49
55.0,231.48937781783437,574.6890489868998,235.81550070672077,584.3995926734394,10.630616065776294,6,49
55.25,231.5948399723413,574.9157155569245,235.90870575909625,584.6315685735059,10.630486247860363,6,49
55.5,231.70030212684824,575.1423821269492,236.0019108114717,584.8635444735725,10.630373212876103,6,49
55.75,231.80576428135515,575.3690486969739,236.09343863642277,585.0961853478183,10.630208784370357,6,50
56.0,231.9112264358621,575.5957152669986,236.1845125982525,585.3290061662101,10.630048276200393,6,50
56.25,232.01668859036903,575.8223818370233,236.27558656008225,585.5618269846019,10.62991080391178,6,50
56.5,232.12215074487597,576.049048407048,236.366660521912,585.7946478029937,10.629796368398258,6,50
56.75,232.22761289938288,576.2757149770727,236.45632293745513,586.0280109275184,10.629640863696814,6,51
57.0,232.33307505388981,576.5023815470973,236.5445634404947,586.2619203408034,10.629451156873575,6,51
57.25,232.43853720839675,576.729048117122,236.6328039435343,586.4958297540883,10.629294284648552,6,51
57.5,232.5439993629037,576.9557146871467,236.72104444657387,586.7297391673733,10.629170248475713,6,51
57.75,232.64946151741063,577.1823812571714,236.8086956557939,586.9638668225017,10.629049274636827,6,52
58.0,232.75492367191754,577.4090478271961,236.89409856675857,587.1988271229756,10.628854475913872,6,52
58.25,232.86038582642448,577.6357143972207,236.97950147772326,587.4337874234494,10.628704002656473,6,52
58.5,232.96584798093141,577.8623809672454,237.06490438868792,587.6687477239233,10.628597856747012,6,52
58.75,233.07131013543835,578.0890475372701,237.1503072996526,587.9037080243971,10.62853603951369,6,52
59.0,233.17677228994526,578.3157141072948,237.232761935213,588.1397171525441,10.628362424926419,6,53
59.25,233.2822344444522,578.5423806773194,237.31493822153132,588.3758253014228,10.628232822486282,6,53
59.5,233.38769659895914,578.7690472473441,237.39711450784964,588.6119334503015,10.628162624485054,6,53
59.75,233.49315875346608,578.9957138173688,237.47929079416795,588.8480415991802,10.628151832099606,6,53
60.0,233.598620907973,579.2223803873935,237.55975772851883,589.0847334802604,10.628104884666188,6,54
60.25,233.70408306247992,579.4490469574182,237.63916325208854,589.3217878259844,10.62806983212416,6,54
60.5,233.80954521698686,579.6757135274429,237.71856877565824,589.5588421717083,10.628108814899635,6,54
60.75,233.9150073714938,579.9023800974676,237.79797429922795,589.7958965174323,10.628221832178173,6,54
61.0,234.02046952600074,580.1290466674923,237.87652860161865,590.0332306811321,10.628360765926853,6,55
61.25,234.12593168050765,580.355713237517,237.9532632382132,590.2711630150985,10.628481130639077,6,55
61.5,234.2313938350146,580.5823798075417,238.02999787480775,590.5090953490649,10.628691080911672,6,55
61.75,234.33685598952152,580.8090463775663,238.1067325114023,590.7470276830313,10.628990611436214,6,55
62.0,234.44231814402846,581.035712947591,238.18342899133992,590.9849721046116,10.629377599155552,6,56
62.25,234.54778029853537,581.2623795176157,238.25769122586004,591.2236876686709,10.629727144614815,6,56
62.5,234.6532424530423,581.4890460876404,238.3319534603802,591.46240323273,10.630181909027655,6,56
62.75,234.75565582028491,581.7170479412512,238.4062156949003,591.7011187967892,10.630534240881552,7,56
63.0,234.85073295632895,581.9482628590262,238.48047792942046,591.9398343608483,10.63045387769061,7,56
63.25,234.94581009237297,582.179477776801,238.55266089411558,592.179182718205,10.630309102804564,7,57
63.5,235.040887228417,582.4106926945759,238.62397080911583,592.4187967746012,10.63017569106422,7,57
63.75,235.13596436446105,582.6419076123509,238.6952807241161,592.6584108309975,10.630102053944025,7,57
64.0,235.23104150050509,582.8731225301258,238.76659063911634,592.8980248873937,10.630088192686408,7,57
64.25,235.3261186365491,583.1043374479008,238.8365343546282,593.1380345562025,10.630056263956387,7,58
64.5,235.42119577259314,583.3355523656757,238.90429301378398,593.3786769550215,10.62997262031824,7,58
64.75,235.51311831181272,583.5679679091835,238.97205167293976,593.6193193538406,10.629858223924195,8,58
65.0,235.59583097661704,583.8038886905508,239.03981033209553,593.8599617526597,10.629468435977147,8,58
65.25,235.67854364142136,584.0398094719181,239.10740512397493,594.1006492674201,10.629091610165686,8,59
65.5,235.76125630622568,584.2757302532855,239.1723658868458,594.3420619830902,10.628579541287303,8,59
65.75,235.84396897103,584.5116510346528,239.2373266497167,594.5834746987604,10.628099936318778,8,59
66.0,235.9266816358343,584.7475718160201,239.3022874125876,594.8248874144305,10.627652799654982,8,59
66.25,236.00939430063863,584.9834925973875,239.36724817545846,595.0663001301007,10.627238135394395,8,59
66.5,236.09210696544295,585.2194133787548,239.42982662297104,595.3083367288184,10.626699717019786,8,60
66.75,236.17481963024727,585.4553341601221,239.49153191598563,595.5506019900796,10.62614760602084,8,60
67.0,236.2575322950516,585.6912549414894,239.5532372090002,595.7928672513409,10.62564078718869,8,60
67.25,236.34024495985594,585.9271757228568,239.61494250201477,596.0351325126021,10.625179267004398,8,60
67.5,236.42295762466026,586.1630965042241,239.67549992963586,596.2776830390796,10.624683158416417,8,61
67.75,236.50567028946458,586.3990172855914,239.73438346972736,596.5206495567447,10.624124840797707,8,61
68.0,236.5883829542689,586.6349380669587,239.79326700981886,596.7636160744098,10.623624616304053,8,61
68.25,236.6710956190732,586.8708588483261,239.85215054991033,597.0065825920749,10.623182493141917,8,61
68.5,236.75380828387753,587.1067796296934,239.91080517142592,597.249603240954,10.622782128855695,8,62
68.75,236.83652094868185,587.3427004110607,239.96697925157108,597.4932104508634,10.622270155398233,8,62
69.0,236.91244887095604,587.5808870482972,240.02315333171623,597.7368176607728,10.621648122942682,9,62
69.25,236.9881014536655,587.8191656388785,240.07932741186139,597.9804248706822,10.621057720422181,9,62
69.5,237.06375403637497,588.0574442294597,240.13550149200654,598.2240320805917,10.620505683156612,9,62
69.75,237.13940661908444,588.295722820041,240.18961763648838,598.468101860105,10.619843811724637,9,63
70.0,237.2150592017939,588.5340014106222,240.24309284989644,598.712315704002,10.619184037809152,9,63
70.25,237.29071178450337,588.7722800012035,240.29656806330448,598.9565295478991,10.618573858959461,9,63
70.5,237.36636436721284,589.0105585917847,240.35004327671254,599.2007433917961,10.618013283725729,9,63
70.75,237.4420169499223,589.248837182366,240.40223956705262,599.4452293505166,10.617406989924293,9,64
71.0,237.51766953263177,589.4871157729473,240.4528176422978,599.6900596147906,10.616739493153453,9,64
71.25,237.59332211534124,589.7253943635285,240.50339571754296,599.9348898790646,10.616135222009143,9,64
71.5,237.6689746980507,589.9636729541097,240.55397379278813,600.1797201433387,10.615594187288332,9,64
71.75,237.74462728076017,590.2019515446909,240.6041837047199,600.4246240996798,10.61508818184439,9,65
